Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Art movement (product.metafields.shopify.art-movement),Art style (product.metafields.shopify.art-style),Artwork authenticity (product.metafields.shopify.artwork-authenticity),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Display mode (product.metafields.shopify.display-mode),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Numeral style (product.metafields.shopify.numeral-style),Orientation (product.metafields.shopify.orientation),Painting medium (product.metafields.shopify.painting-medium),Rarity (product.metafields.shopify.rarity),Shape (product.metafields.shopify.shape),Stand/Display type (product.metafields.shopify.stand-display-type),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bound-by-love-wall-art,Bound by Love Wall Art,"<p data-start=""207"" data-end=""392"">Express the beauty of connection with the <em data-start=""249"" data-end=""273"">Bound by Love Wall Art</em>. This elegant piece captures a timeless moment of togetherness, symbolizing trust, care, and deep emotional bonding.</p>
<p data-start=""394"" data-end=""580"">Its minimal yet meaningful design adds warmth and charm to any space, making it a perfect addition for bedrooms or personal corners. A subtle statement that speaks of love without words.<br>•  Romantic Minimal Design<br data-start=""628"" data-end=""631"">•  Symbolic &amp; Emotional Artwork<br data-start=""661"" data-end=""664"">•  Lightweight &amp; Easy to Hang<br data-start=""692"" data-end=""695"">•  Premium Quality Finish<br></p>",zylowalls,Home & Garden > Decor,wallart,"aesthetic wall art, bedroom wall art, couple wall art, emotional wall art, home decor, love wall art, minimal wall art, modern wall art, premium wall art, romantic wall decor",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1199,1559,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last2.jpg?v=1777718495,1,,false,,,other,illustrative,reproduction,wood,black,wood,,unframed,wood,,other,,,,,wallart,,kg,,,active
bound-by-love-wall-art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_3.jpg?v=1777718511,2,,,,,,,,,,,,,,,,,,,,,,,,,
circle-of-life-wall-art-4-panel-set,Circle of Life Wall Art (4 Panel Set),"<p data-start=""211"" data-end=""436"">Celebrate the beauty of life’s journey with the <em data-start=""259"" data-end=""284"">Circle of Life Wall Art</em>. This meaningful 4-panel design artistically represents different stages of life, creating a powerful visual story of growth, time, and togetherness.</p>
<p data-start=""438"" data-end=""656"">Each frame reflects a unique phase, while the overall composition brings a sense of continuity and emotional depth. Perfect for homes that value warmth and meaning, it adds a timeless and heartfelt touch to your décor.<br>•  4 Panel Storytelling Design<br data-start=""708"" data-end=""711"">•  Life Journey Inspired Artwork<br data-start=""742"" data-end=""745"">•  Lightweight &amp; Easy to Hang<br data-start=""773"" data-end=""776"">•  Premium Quality Finish<br></p>",zylowalls,Home & Garden > Decor,wallart,"4 panel wall art, aesthetic wall art, emotional wall art, family wall art, home decor, life journey wall art, living room wall art, meaningful wall art, premium wall art, storytelling wall decor",true,Color,black,product.metafields.shopify.color-pattern,size,each frame of 6 by 12,,,,,,0.0,shopify,0,continue,manual,1849,2404,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last13.jpg?v=1777717379,1,,false,,,modernism,other,other,wood,black,wood,,framed,wood,,vertical,,,,,wallart,,kg,,,active
circle-of-life-wall-art-4-panel-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_8.jpg?v=1777717551,2,,,,,,,,,,,,,,,,,,,,,,,,,
harmony-link-wall-art-3-panel-set,Harmony Link Wall Art (3 Panel Set),"<p data-start=""217"" data-end=""452"">Add a sense of balance and artistic harmony to your space with the <em data-start=""284"" data-end=""307"">Harmony Link Wall Art</em>. This beautifully crafted 3-panel design creates a seamless connection between elements, forming a unified and visually appealing composition.</p>
<p data-start=""454"" data-end=""671"">Its modern structure brings depth and elegance, making it a perfect statement piece for contemporary interiors. Ideal for living rooms, bedrooms, or offices, it enhances your décor with a refined and stylish presence.<br></p>
<p data-start=""694"" data-end=""814"">•  3 Panel Connected Design<br data-start=""720"" data-end=""723"">•  Modern &amp; Balanced Composition<br data-start=""754"" data-end=""757"">•  Lightweight &amp; Easy to Hang<br data-start=""785"" data-end=""788"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"3 panel wall art, abstract wall art, aesthetic wall art, arabic calligraphy, contemporary decor, geometric wall decor, home decor, minimal wall art, modern wall art, modern wall art set, office wall decor, premium wall art",true,Color,black,product.metafields.shopify.color-pattern,size,12 by 14,,,,,,0.0,shopify,0,continue,manual,1849,2404,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last18.jpg?v=1777715760,1,,false,,,modernism,other,other,wood,black,wood,,unframed,wood,,horizontal,,,,,wallart,,kg,,,active
harmony-link-wall-art-3-panel-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_5.jpg?v=1777715795,2,,,,,,,,,,,,,,,,,,,,,,,,,
velocity-edge-wall-art-3-panel-set,Velocity Edge Wall Art (3 Panel Set),"<p data-start=""225"" data-end=""544"">Bring energy and bold character to your space with the <em data-start=""280"" data-end=""304"">Velocity Edge Wall Art</em>. This striking 3-panel piece captures the essence of motion and power through a modern artistic composition. Its dynamic visual flow creates a strong focal point, making it perfect for interiors that reflect confidence and individuality.</p>
<p data-start=""546"" data-end=""641"">Designed for contemporary spaces, it adds depth, attitude, and a premium aesthetic to any wall.<br></p>
<p data-start=""664"" data-end=""785"">•  3 Panel Modern Composition<br data-start=""692"" data-end=""695"">•  Bold &amp; Dynamic Visual Appeal<br data-start=""725"" data-end=""728"">•  Lightweight &amp; Easy to Hang<br data-start=""756"" data-end=""759"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"3 panel wall art, abstract wall art, aesthetic wall art, automotive wall decor, bike wall art, contemporary decor, home decor, modern wall art, modern wall art set, office wall decor, premium wall art",true,Color,black,product.metafields.shopify.color-pattern,size,12 by 14,,,,,,0.0,shopify,0,continue,manual,1849,2404,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last16.jpg?v=1777706727,1,,false,,,modernism,other,reproduction,wood,black,wood,,framed,wood,,horizontal,,,,,wallart,,kg,,,unlisted
velocity-edge-wall-art-3-panel-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_7.jpg?v=1777706765,2,,,,,,,,,,,,,,,,,,,,,,,,,
forever-story-wall-art-3-panel-set,Forever Story Wall Art (3 Panel Set),"<p data-start=""203"" data-end=""418"">Tell a beautiful story of love and togetherness with the <em data-start=""260"" data-end=""284"">Forever Story Wall Art</em>. This 3-panel design captures a heartfelt journey—from companionship to commitment—presented in a meaningful and artistic sequence.</p>
<p data-start=""420"" data-end=""642"">Each frame reflects a special moment, and together they create a timeless narrative that adds warmth and emotion to your space. Perfect for bedrooms or personal spaces, it brings a romantic and elegant touch to your décor.<br></p>
<p data-start=""665"" data-end=""787"">•  3 Panel Storytelling Design<br data-start=""694"" data-end=""697"">•  Romantic &amp; Emotional Artwork<br data-start=""727"" data-end=""730"">•  Lightweight &amp; Easy to Hang<br data-start=""758"" data-end=""761"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"3 panel wall art, aesthetic home decor, aesthetic wall art, arabic calligraphy, bedroom wall art, couple wall art, home decor, love story wall art, premium wall art, proposal wall art, romantic wall decor, wedding wall decor",true,Color,black,product.metafields.shopify.color-pattern,size,1st frame of 7 by 14,,,,,,0.0,shopify,-1,continue,manual,1699,2209,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last3.jpg?v=1777705092,1,,false,,,modernism,other,reproduction,wood,black,wood,,modern,wood,,vertical,,,,,wallart,,kg,,,active
forever-story-wall-art-3-panel-set,,,,,,,,,black,,,2nd frame of 14 by 14,,,,,,0.0,shopify,0,continue,manual,1699,2209,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_4.jpg?v=1777705119,2,,,,,,,,,,,,,,,,,,,,,,kg,,,
